3/26/2025  2:38 PM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
1	0.00	0.000	0.000
2	0.00	0.000	0.100
3	0.00	0.000	0.150
4	0.00	0.000	0.200
5	0.00	0.000	0.250
6	0.00	0.000	0.300
7	0.00	0.000	0.351
8	0.00	0.000	0.400
9	0.00	0.000	0.450
10	0.00	0.000	0.500
11	0.00	0.000	0.550
12	0.00	0.000	0.600
13	0.00	0.000	0.651
14	0.00	0.000	0.701
15	0.00	0.000	0.750
16	0.00	0.000	0.801
17	0.00	0.000	0.850
18	0.00	0.000	0.900
19	0.00	0.000	0.950
20	0.00	0.000	1.000
21	0.00	0.000	1.050
22	0.00	0.000	1.100
23	0.00	0.000	1.150
24	0.00	0.000	1.200
25	0.00	0.000	1.251
26	0.00	0.000	1.300
27	0.00	0.000	1.350
28	0.00	0.000	1.400
29	0.00	0.000	1.450
30	0.00	0.000	1.500
31	0.00	0.000	1.550
32	0.00	0.000	1.600
33	0.00	0.000	1.650
34	0.00	0.000	1.700
35	0.00	0.000	1.751
36	0.00	0.000	1.800
37	0.00	0.000	1.850
38	0.00	0.000	1.900
39	0.00	0.000	1.950
40	0.00	0.000	2.000
41	0.00	0.000	2.050
42	0.00	0.000	2.100
43	0.00	0.000	2.151
44	0.00	0.000	2.200
45	0.00	0.000	2.250
46	0.00	0.000	2.301
47	0.00	0.000	2.350
48	0.00	0.000	2.400
49	0.00	0.000	2.451
50	0.00	0.000	2.500
51	0.00	0.000	2.550
52	0.00	0.000	2.600
53	0.00	0.000	2.650
54	0.00	0.000	2.700
55	0.00	0.000	2.750
56	0.00	0.000	2.800
57	0.00	0.000	2.851
58	0.00	0.000	2.900
59	0.00	0.000	2.950
60	0.00	0.000	3.001
61	0.00	0.000	3.050
62	0.00	0.000	3.101
63	0.00	0.000	3.150
64	0.00	0.000	3.200
65	0.00	0.000	3.250
66	0.00	0.000	3.301
67	0.00	0.000	3.350
68	0.00	0.000	3.400
69	0.00	0.000	3.450
70	0.00	0.000	3.500
71	0.00	0.000	3.550
72	0.00	0.000	3.600
73	0.00	0.000	3.651
74	0.00	0.000	3.700
75	0.00	0.000	3.750
76	0.00	0.000	3.800
77	0.00	0.000	3.850
78	0.00	0.000	3.900
79	0.00	0.000	3.951
80	0.00	0.000	4.001
81	0.00	0.000	4.050
82	0.00	0.000	4.100
83	0.00	0.000	4.150
84	0.00	0.000	4.200
85	0.00	0.000	4.250
86	0.00	0.000	4.301
87	0.00	0.000	4.350
88	0.00	0.000	4.401
89	0.00	0.000	4.451
90	0.00	0.000	4.501
91	0.00	0.000	4.550
92	0.00	0.000	4.600
93	0.00	0.000	4.650
94	0.00	0.000	4.700
95	0.00	0.000	4.750
96	0.00	0.000	4.800
97	0.00	0.000	4.850
98	0.00	0.000	4.901
99	0.00	0.000	4.950
100	0.00	0.000	5.000
101	0.00	0.000	5.050
102	0.00	0.000	5.100
103	0.00	0.000	5.150
104	0.00	0.000	5.200
105	0.00	0.000	5.250
106	0.00	0.000	5.300
107	0.00	0.000	5.350
108	0.00	0.000	5.401
109	0.00	0.000	5.450
110	0.00	0.000	5.501
111	0.00	0.000	5.550
112	0.00	0.000	5.601
113	0.00	0.000	5.651
114	0.00	0.000	5.701
115	0.00	0.000	5.750
116	0.00	0.000	5.800
117	0.00	0.000	5.850
118	0.00	0.000	5.900
119	0.00	0.000	5.950
120	0.00	0.000	6.000
121	0.00	0.000	6.051
122	0.00	0.000	6.100
123	0.00	0.000	6.150
124	0.00	0.000	6.200
125	0.00	0.000	6.250
126	0.00	0.000	6.300
127	0.00	0.000	6.351
128	0.00	0.000	6.400
129	0.00	0.000	6.451
130	0.00	0.000	6.501
131	0.00	0.000	6.550
132	0.00	0.000	6.600
133	0.00	0.000	6.650
134	0.00	0.000	6.701
135	0.00	0.000	6.751
136	0.00	0.000	6.800
137	0.00	0.000	6.850
138	0.00	0.000	6.901
139	0.00	0.000	6.951
140	0.00	0.000	7.001
141	0.00	0.000	7.050
142	0.00	0.000	7.101
143	0.00	0.000	7.150
144	0.00	0.000	7.200
145	0.00	0.000	7.250
146	0.00	0.000	7.300
147	0.00	0.000	7.350
148	0.00	0.000	7.400
149	0.00	0.000	7.450
150	0.00	0.000	7.501
151	-0.04	0.000	7.550
152	-0.06	0.000	7.600
153	-0.04	0.000	7.651
154	-0.08	0.000	7.700
155	-0.12	0.000	7.750
156	-0.16	0.000	7.800
157	-0.10	0.000	7.850
158	-0.08	0.000	7.900
159	-0.16	0.000	7.950
160	-0.28	0.000	8.000
161	-0.42	0.000	8.050
162	-0.22	0.000	8.100
163	-0.28	0.000	8.150
164	-0.20	0.000	8.200
165	-0.18	0.000	8.250
166	-0.32	0.000	8.300
167	-0.28	0.000	8.350
168	-0.26	0.000	8.400
169	-0.30	0.000	8.450
170	-0.16	0.000	8.500
171	-0.18	0.000	8.550
172	-0.24	0.000	8.601
173	-0.14	0.000	8.651
174	-0.18	0.000	8.700
175	-0.22	0.000	8.751
176	-0.22	0.000	8.800
177	-0.28	0.000	8.850
178	-0.26	0.000	8.900
179	-0.46	0.000	8.950
180	-0.38	0.000	9.000
181	-0.38	0.000	9.050
182	-0.34	0.000	9.101
183	-0.34	0.000	9.150
184	-0.40	0.000	9.200
185	-0.46	0.000	9.250
186	-0.44	0.000	9.300
187	-0.48	0.000	9.350
188	-0.42	0.000	9.400
189	-0.48	0.000	9.450
190	-0.50	0.000	9.500
191	-0.58	0.000	9.550
192	-0.56	0.000	9.600
193	-0.56	0.000	9.650
194	-0.72	0.000	9.700
195	-0.64	0.000	9.750
196	-0.72	0.000	9.800
197	-0.72	0.000	9.850
198	-0.76	0.000	9.900
199	-0.74	0.000	9.951
200	-0.76	0.000	10.000
201	-0.72	0.000	10.050
202	-0.68	0.000	10.100
203	-0.68	0.000	10.150
204	-0.66	0.000	10.200
205	-0.70	0.000	10.250
206	-0.76	0.000	10.301
207	-0.78	0.000	10.350
208	-0.80	0.000	10.400
