Units: N			
Readings: Continuous			
X-Axis: Travel			
Travel Unit: mm			
Reading	Load	Travel	Time
1	0	0	0
2	0	0	0.136
3	0	0	0.186
4	0	0	0.236
5	0	0	0.286
6	0	0	0.337
7	0	0	0.386
8	0	0	0.436
9	0	0	0.486
10	0	0	0.536
11	0	0	0.587
12	0	0	0.636
13	0	0	0.686
14	0	0	0.736
15	0	0	0.786
16	0	0	0.836
17	0	0	0.887
18	0	0	0.937
19	0	0	0.986
20	0	0	1.036
21	0	0	1.086
22	0	0	1.136
23	0	0	1.187
24	0	0	1.236
25	0	0	1.286
26	0	0	1.336
27	0	0	1.386
28	0	0	1.436
29	0	0	1.486
30	0	0	1.537
31	0	0	1.586
32	0	0	1.637
33	0	0	1.687
34	0	0	1.737
35	0	0	1.786
36	0	0	1.836
37	0	0	1.886
38	0	0	1.936
39	0	0	1.987
40	0	0	2.036
41	0	0	2.086
42	0	0	2.136
43	0	0	2.187
44	0	0	2.236
45	0	0	2.286
46	0	0	2.336
47	0	0	2.387
48	0	0	2.436
49	0	0	2.487
50	0	0	2.537
51	0	0	2.586
52	0	0	2.637
53	0	0	2.686
54	0	0	2.737
55	0	0	2.787
56	0	0	2.837
57	0	0	2.887
58	0	0	2.937
59	0	0	2.986
60	0	0	3.037
61	0	0	3.086
62	0	0	3.137
63	0	0	3.187
64	0	0	3.237
65	0	0	3.287
66	0	0	3.337
67	0	0	3.386
68	0	0	3.436
69	0	0	3.486
70	0	0	3.536
71	0	0	3.586
72	0	0	3.637
73	0	0	3.686
74	0	0	3.736
75	0	0	3.786
76	0	0	3.837
77	0	0	3.886
78	0	0	3.936
79	0	0	3.986
80	0	0	4.036
81	0	0	4.086
82	0	0	4.136
83	0	0	4.186
84	0	0	4.236
85	0	0	4.286
86	0	0	4.336
87	0	0	4.386
88	0	0	4.436
89	0	0	4.486
90	0	0	4.536
91	0	0	4.586
92	0	0	4.636
93	0	0	4.686
94	0	0	4.736
95	0	0	4.786
96	0	0	4.836
97	0	0	4.886
98	0	0	4.936
99	0	0	4.987
100	0	0	5.037
101	0	0	5.086
102	0	0	5.136
103	0	0	5.186
104	0	0	5.236
105	0	0	5.286
106	0	0	5.337
107	0	0	5.386
108	0	0	5.436
109	0	0	5.486
