time_ms,L7,L6,L5,L4,L3,L2,L1,R7,R6,R5,R4,R3,R2,R1,
147085,34173,35323,33183,35777,21144,22964,34229,32462,30121,17050,29891,28607,28764,29150,
147136,33958,39900,33160,35797,21188,22947,34132,32719,30031,16962,29792,28557,28712,29131,
147187,34009,39892,33145,35803,21180,22933,34139,32711,29988,16976,29806,28542,28742,29117,
147239,34009,39892,33174,35769,21143,22947,34139,32649,30037,16984,29820,28542,28743,29131,
147289,33907,39892,33203,35783,21188,22954,34153,32679,30002,16984,29806,28528,28674,29103,
147340,33922,39900,33173,35762,21165,22968,34132,32672,29996,16977,29798,28564,28704,29117,
147390,33958,39923,33188,35762,21165,22947,34139,32695,30030,17041,29813,28549,28727,29118,
147449,33958,39899,33159,35769,21180,22961,34153,32734,30052,16984,29792,28549,28681,29117,
147500,33914,39892,33211,35749,21180,22933,34132,32710,30003,17012,29806,28535,28727,29117,
147552,33987,39930,33152,35803,21173,22990,34133,32672,30002,16984,29827,28542,28696,29118,
147603,34016,39899,33145,35796,21188,22968,34146,32672,30009,16998,29820,28534,28742,29117,
147654,33979,39908,33153,35762,21188,22940,34132,32656,29981,16991,29792,28549,28742,29110,
147705,33914,39891,33210,35789,21165,22954,34139,32648,30037,16977,29813,28578,28673,29124,
147755,34009,39954,33144,35803,21173,22940,34153,32671,30030,16984,29834,28542,28773,29124,
147806,33915,39915,33188,35762,21173,22954,34139,32657,30024,17055,29813,28549,28681,29117,
147857,33923,39899,33188,35783,21173,23004,34132,32687,29995,16991,29813,28534,28720,29124,
147908,33958,39923,33202,35783,21173,22925,34160,32695,30037,17026,29785,28542,28720,29110,
147959,33928,39938,33216,35789,21180,22990,34132,32656,30044,16977,29834,28542,28712,29124,
148009,33937,39915,33159,35776,21173,23004,34132,32672,30017,16984,29799,28563,28712,29110,
148061,33943,39892,33203,35762,21180,22961,34125,32663,29995,16998,29792,28556,28704,29117,
148111,33900,39899,33195,35748,21173,22940,34139,32672,30009,16955,29806,28542,28743,29117,
148162,33915,39938,33152,35769,21307,22968,34146,32725,30015,16969,29813,28542,28742,29138,
148214,33944,39915,33181,35816,21173,22997,34139,32680,30016,16998,29791,28527,28727,29103,
148265,33936,39876,33174,35783,21173,22997,34132,32726,30003,17012,29791,28549,28704,29096,
148315,33943,39891,33209,35769,21173,22947,34146,32664,30059,16991,29792,28520,28681,29103,
148368,33907,39891,33202,35762,21255,22947,34139,32663,30003,16977,29806,28563,28743,29124,
148432,33944,39876,33195,35789,21173,22947,34146,32656,30038,16976,29806,28549,28727,29117,
148482,33945,39891,33158,35749,21165,22954,34139,32688,30016,17005,29791,28556,28689,29110,
148533,33972,39946,33209,35756,21165,22940,34153,32756,30011,16984,29813,28534,28742,29110,
148584,34002,39930,33137,35748,21165,22975,34139,32664,30094,16984,29813,28520,28704,29124,
148635,33986,39907,33181,35769,21173,22918,34139,32703,30009,16991,29799,28542,28696,29117,
148687,33943,39891,33153,35837,21180,22997,34139,32719,30080,16998,29792,28527,28697,29117,
148738,33943,39922,33209,35769,21180,22933,34146,32664,30029,16962,29806,28563,28750,29110,
148789,33964,39899,33195,35762,21158,22975,34139,32710,30002,16983,29799,28549,28681,29110,
148840,33994,39891,33152,35769,21165,22940,34146,32672,30037,16991,29799,28527,28689,29103,
148891,33921,39907,33137,35755,21173,22919,34146,32664,30016,17012,29820,28549,28689,29103,
148943,33979,39899,33151,35803,21203,22940,34132,32664,30038,16991,29785,28527,28689,29110,
148994,33965,39938,33173,35783,21180,22925,34146,32687,30058,16984,29813,28527,28720,29096,
149045,33898,39954,33195,35755,21188,22925,34132,32718,30086,16984,29805,28556,28750,29103,
149096,33915,39891,33194,35782,21195,22997,34118,32695,29995,17005,29792,28549,28758,29123,
149147,33921,39899,33144,35769,21202,22947,34139,32710,30086,16984,29813,28556,28735,29110,
149198,33921,39922,33166,35769,21173,22947,34146,32695,29995,17005,29785,28534,28735,29117,
149250,33980,39891,33152,35823,21180,22954,34146,32710,30002,16998,29799,28535,28734,29110,
149301,33900,39906,33152,35776,21173,22954,34139,32686,30044,16990,29792,28527,28750,29131,
149352,33935,39860,33159,35748,21173,22982,34139,32679,30016,16962,29806,28556,28727,29117,
149403,33908,39954,33151,35816,21158,22982,34139,32657,30002,16998,29799,28542,28719,29110,
