time_ms,L7,L6,L5,L4,L3,L2,L1,R7,R6,R5,R4,R3,R2,R1,
51144,33689,35485,32997,35680,21089,22907,34079,32452,29732,16883,29598,28461,28606,29054,
51196,33757,35580,33006,35701,21157,22943,34115,32440,29720,16919,29656,28456,28654,29097,
51247,33728,35534,33005,35681,21112,22929,34101,32447,29769,16884,29642,28477,28623,29090,
51298,33728,35510,33041,35681,21157,23014,34108,32493,29749,16898,29627,28448,28631,29090,
51349,33714,35495,33078,35667,21097,22950,34101,32440,29728,16898,29634,28440,28615,29069,
51400,33728,35503,33013,35721,21075,22936,34094,32424,29776,16884,29606,28484,28638,29090,
51451,33743,35518,33063,35769,21150,22929,34101,32486,29790,16905,29599,28470,28593,29090,
51502,33713,35510,33006,35708,21090,22922,34108,32400,29749,16870,29599,28448,28608,29083,
51552,33691,35542,33020,35721,21097,22936,34107,32409,29776,16870,29613,28506,28646,29083,
51603,33757,35518,33012,35694,21097,22929,34094,32424,29734,16919,29620,28455,28631,29076,
51654,33715,35526,33034,35688,21097,22936,34101,32456,29761,16926,29635,28448,28653,29083,
51705,33728,35526,33077,35729,21179,22907,34101,32500,29775,16898,29627,28448,28615,29076,
51756,33685,35511,33027,35721,21090,22950,34094,32401,29769,16884,29614,28448,28654,29069,
51807,33722,35510,32998,35694,21120,22943,34094,32472,29714,16891,29684,28477,28607,29090,
51858,33714,35503,33027,35654,21097,22943,34094,32411,29741,16869,29634,28491,28600,29090,
51909,33750,35495,33063,35694,21090,22943,34101,32439,29775,16891,29613,28448,28615,29097,
51960,33692,35503,33042,35728,21165,22929,34094,32417,29763,16919,29606,28491,28631,29090,
52010,33684,35565,33041,35701,21090,22915,34094,32417,29748,16891,29627,28476,28646,29090,
52061,33765,35487,33020,35674,21105,22950,34101,32424,29734,16905,29627,28440,28615,29097,
52112,33706,35534,33020,35715,21098,22929,34094,32463,29776,16891,29599,28542,28654,29083,
52164,33699,35511,33049,35668,21097,22929,34087,32416,29769,16912,29656,28462,28608,29076,
52215,33691,35526,33056,35695,21105,22957,34100,32401,29735,16919,29593,28434,28608,29097,
52266,33764,35510,33020,35687,21097,22922,34094,32409,29790,16863,29606,28455,28608,29062,
52317,33685,35502,33019,35694,21112,22922,34094,32493,29798,16912,29607,28499,28615,29069,
52368,33714,35494,33077,35661,21209,22943,34101,32455,29755,16884,29599,28484,28646,29076,
52419,33692,35510,33027,35708,21119,22950,34101,32448,29720,16926,29599,28462,28646,29090,
52469,33765,35534,33021,35722,21090,22957,34094,32424,29747,16905,29606,28484,28592,29090,
52520,33707,35542,33034,35701,21105,22929,34101,32417,29798,16876,29614,28455,28615,29091,
52571,33764,35541,33034,35681,21120,22929,34101,32509,29769,16940,29599,28441,28615,29090,
52622,33707,35503,33034,35687,21194,22957,34108,32440,29763,16869,29585,28426,28600,29090,
52673,33678,35511,33034,35667,21149,22943,34101,32409,29720,16891,29649,28520,28592,29076,
52723,33713,35518,33026,35667,21112,22907,34094,32402,29734,16891,29592,28448,28631,29076,
52774,33742,35526,33019,35668,21090,22922,34094,32462,29784,16919,29635,28469,28615,29076,
52825,33757,35526,33005,35695,21090,22922,34080,32463,29748,16862,29649,28499,28638,29090,
52876,33713,35510,33063,35728,21104,22922,34094,32531,29777,16869,29614,28441,28653,29076,
52927,33685,35502,33026,35674,21105,22929,34101,32418,29747,16891,29635,28455,28592,29069,
52979,33736,35526,33050,35680,21142,22943,34108,32401,29770,16877,29642,28441,28608,29090,
53034,33749,35596,33034,35674,21134,22936,34094,32471,29728,16961,29620,28462,28646,29090,
53085,33764,35526,33027,35681,21097,22943,34101,32432,29790,16919,29620,28448,28592,29076,
53136,33678,35510,33041,35722,21172,22943,34101,32424,29735,16862,29613,28448,28638,29076,
53187,33692,35526,33020,35681,21105,22972,34094,32462,29741,16912,29613,28455,28631,29090,
53238,33735,35541,33034,35735,21165,22964,34115,32424,29790,16919,29599,28484,28623,29076,
53289,33750,35495,33006,35647,21209,22908,34115,32409,29791,16898,29606,28541,28608,29090,
53340,33691,35542,33019,35674,21097,22929,34108,32455,29734,16877,29648,28491,28592,29090,
53391,33677,35503,33041,35681,21142,22943,34101,32410,29769,16855,29614,28455,28608,29076,
53442,33735,35518,33035,35667,21090,22950,34101,32456,29770,16876,29606,28455,28631,29090,
53494,33714,35526,33070,35667,21134,22964,34101,32509,29727,16905,29628,28527,28661,29097,
53545,33750,35573,33034,35742,21105,22922,34094,32478,29769,16891,29627,28448,28654,29104,
53596,33706,35541,33041,35667,21194,22900,34101,32447,29790,16919,29620,28469,28630,29069,
53647,33720,35518,33020,35729,21142,22908,34115,32432,29719,16869,29606,28477,28631,29069,
53699,33721,35526,33034,35708,21105,22943,34101,32417,29770,16862,29607,28484,28630,29076,
53750,33750,35549,33027,35654,21097,22943,34108,32462,29734,16947,29634,28448,28623,29069,
53801,33728,35526,33020,35728,21120,22936,34108,32409,29742,16869,29620,28434,28615,29069,
53852,33714,35511,33027,35694,21097,22936,34108,32424,29762,16855,29627,28440,28646,29083,
53903,33743,35479,33027,35667,21105,22929,34087,32440,29763,16919,29613,28426,28608,29069,
53954,33714,35541,33013,35681,21134,22922,34094,32409,29818,16876,29628,28462,28653,29076,
54005,33706,35518,33034,35694,21067,22936,34108,32410,29790,16933,29599,28440,28661,29083,
54056,33684,35549,33020,35708,21045,22801,34150,32440,29763,16848,29592,28491,28615,29097,
54106,33743,35519,33092,35729,21060,22772,34149,32432,29755,16862,29599,28462,28607,29069,
54158,33757,35542,33099,35749,21000,22645,34156,32439,29770,16898,29642,28390,28577,29104,
54208,33736,35526,33085,35729,21067,22673,34170,32416,29720,16919,29649,28384,28615,29104,
