Units: N			
Readings: Continuous			
X-Axis: Travel			
Travel Unit: mm			
Reading	Load	Travel	Time
1	0	0	0
2	0	0	0.126
3	0	0	0.176
4	0	0	0.226
5	0	0	0.277
6	0	0	0.326
7	0	0	0.376
8	0	0	0.426
9	0	0	0.476
10	0	0	0.527
11	0	0	0.576
12	0	0	0.627
13	0	0	0.676
14	0	0	0.726
15	0	0	0.777
16	0	0	0.826
17	0	0	0.876
18	0	0	0.926
19	0	0	0.976
20	0	0	1.026
21	0	0	1.076
22	0	0	1.126
23	0	0	1.176
24	0	0	1.227
25	0	0	1.276
26	0	0	1.326
27	0	0	1.376
28	0	0	1.427
29	0	0	1.476
30	0	0	1.526
31	0	0	1.576
32	0	0	1.626
33	0	0	1.676
34	0	0	1.726
35	0	0	1.776
36	0	0	1.826
37	0	0	1.876
38	0	0	1.926
39	0	0	1.976
40	0	0	2.026
41	0	0	2.076
42	0	0	2.127
43	0	0	2.176
44	0	0	2.226
45	0	0	2.276
46	0	0	2.326
47	0	0	2.376
48	0	0	2.426
49	0.005	0	2.477
50	0.005	0	2.527
51	0	0	2.576
52	0	0	2.626
53	0	0	2.676
54	0	0	2.726
55	0	0	2.776
56	-0.005	0	2.826
57	0	0	2.876
58	0	0	2.926
59	0	0	2.976
60	0	0	3.026
61	0	0	3.076
62	0	0	3.126
63	0	0	3.176
64	0	0	3.226
65	0	0	3.276
66	0	0	3.327
67	0	0	3.376
68	0	0	3.427
69	0	0	3.476
70	0	0	3.526
71	0	0	3.578
72	0	0	3.626
73	0	0	3.676
74	0	0	3.727
75	0	0	3.776
76	0	0	3.826
77	0	0	3.876
78	0	0	3.926
79	0	0	3.976
80	0	0	4.026
81	0	0	4.076
82	0.005	0	4.126
83	0	0	4.176
84	0	0	4.226
85	0	0	4.276
86	0	0	4.326
87	0	0	4.376
88	0	0	4.426
89	0	0	4.476
90	0	0	4.527
91	0	0	4.577
92	0	0	4.626
93	0	0	4.676
94	0	0	4.726
95	0	0	4.776
96	0	0	4.826
97	0	0	4.876
98	0	0	4.927
99	0	0	4.976
100	0	0	5.026
101	0	0	5.076
102	0	0	5.126
103	0	0	5.176
104	0	0	5.226
105	0	0	5.277
106	0	0	5.326
107	0	0	5.376
108	0	0	5.426
109	0	0	5.476
110	0	0	5.526
111	0	0	5.576
112	0	0	5.626
113	0	0	5.677
114	0	0	5.726
115	0	0	5.776
116	0	0	5.826
117	0	0	5.876
118	0	0	5.926
119	0	0	5.976
120	0	0	6.026
121	0	0	6.076
122	0	0	6.126
123	0	0	6.176
124	0	0	6.226
125	0	0	6.276
126	0	0	6.326
127	0	0	6.376
128	0	0	6.426
129	0	0	6.476
130	0	0	6.526
131	0	0	6.576
132	0	0	6.626
133	0	0	6.677
134	0	0	6.727
135	0	0	6.776
136	0	0	6.826
137	0	0	6.876
138	0.015	0	6.926
139	0.05	0	6.976
140	0.08	0	7.026
141	0.065	0	7.076
142	0.04	0	7.126
143	-0.01	0	7.176
144	-0.065	0	7.227
145	-0.04	0	7.276
146	-0.025	0	7.326
147	0.135	0	7.376
148	0.265	0	7.426
149	0.465	0	7.476
150	0.6	0	7.526
151	0.375	0	7.577
152	-0.025	0	7.626
153	0.17	0	7.676
154	0.1	0	7.726
155	0.135	0	7.776
156	0.31	0	7.826
157	0.29	0	7.876
158	0.39	0	7.926
159	0.495	0	7.976
160	0.73	0	8.026
161	1.005	0	8.076
162	1.045	0	8.126
163	0.89	0	8.177
164	0.9	0	8.226
165	0.92	0	8.276
166	0.83	0	8.327
167	0.785	0	8.376
168	0.31	0	8.426
169	0.255	0	8.476
170	0.465	0	8.526
171	0.53	0	8.576
