Units: N,,,
Readings: Continuous,,,
X-Axis: Travel,,,
Travel Unit: mm,,,
Reading,Load,Travel,Time
1,0,0,0
2,0,0,0.102
3,0,0,0.15
4,0,0,0.2
5,0,0,0.251
6,0,0,0.3
7,0,0,0.35
8,0,0,0.401
9,0,0,0.45
10,0,0,0.5
11,0,0,0.55
12,0,0,0.6
13,0.005,0,0.651
14,0,0,0.7
15,0,0,0.75
16,0.005,0,0.8
17,0,0,0.852
18,0,0,0.9
19,0,0,0.95
20,0,0,1
21,0,0,1.05
22,0,0,1.1
23,0,0,1.151
24,0,0,1.2
25,0,0,1.251
26,0,0,1.3
27,0,0,1.35
28,0,0,1.4
29,0,0,1.45
30,0,0,1.5
31,0,0,1.55
32,0,0,1.6
33,0,0,1.65
34,0,0,1.7
35,0,0,1.75
36,0,0,1.8
37,0,0,1.85
38,0,0,1.9
39,0,0,1.95
40,0,0,2
41,0,0,2.05
42,0,0,2.1
43,0,0,2.151
44,0.01,0,2.2
45,0,0,2.25
46,0,0,2.3
47,0,0,2.351
48,0,0,2.4
49,0,0,2.45
50,-0.005,0,2.5
51,0,0,2.55
52,0,0,2.6
53,0,0,2.65
54,0,0,2.7
55,0.005,0,2.75
56,0.005,0,2.8
57,0.005,0,2.85
58,0.005,0,2.9
59,0,0,2.95
60,0.005,0,3
61,0,0,3.05
62,-0.005,0,3.1
63,0,0,3.15
64,-0.005,0,3.201
65,-0.005,0,3.25
66,0,0,3.301
67,0,0,3.35
68,0,0,3.401
69,0.005,0,3.45
70,0,0,3.5
71,0.005,0,3.551
72,0.005,0,3.6
73,0,0,3.65
74,0,0,3.7
75,-0.005,0,3.75
76,0.005,0,3.801
77,-0.005,0,3.85
78,0.005,0,3.9
79,0,0,3.95
80,0,0,4.001
81,0.005,0,4.05
82,0,0,4.1
83,0,0,4.151
84,0.005,0,4.2
85,0.005,0,4.251
86,0,0,4.3
87,0.005,0,4.35
88,0,0,4.4
89,0,0,4.45
90,0,0,4.5
91,0,0,4.55
92,0,0,4.6
93,0,0,4.65
94,0,0,4.7
95,0,0,4.75
96,0,0,4.801
97,0,0,4.85
98,0,0,4.9
99,0,0,4.951
100,0,0,5
101,0,0,5.05
102,0.005,0,5.1
103,0,0,5.151
104,0,0,5.2
105,0,0,5.25
106,-0.005,0,5.301
107,-0.005,0,5.35
108,0,0,5.4
109,0,0,5.45
110,0,0,5.5
111,0.005,0,5.551
112,0.005,0,5.6
113,0,0,5.65
114,0.005,0,5.7
115,0,0,5.75
116,0,0,5.8
117,0,0,5.851
118,0,0,5.9
119,0,0,5.95
120,0,0,6
121,0,0,6.05
122,0,0,6.1
123,0,0,6.15
124,0,0,6.2
125,0,0,6.25
126,0,0,6.3
127,0,0,6.35
128,0,0,6.401
129,0,0,6.45
130,0,0,6.5
131,-0.75,0,6.55
132,-0.39,0,6.6
133,-0.335,0,6.65
134,0.015,0,6.7
135,0.105,0,6.75
136,-0.13,0,6.8
137,-0.165,0,6.851
138,-0.18,0,6.9
139,-0.28,0,6.95
140,-0.31,0,7
141,-0.33,0,7.05
142,-0.325,0,7.1
143,-0.29,0,7.15
144,-0.3,0,7.2
145,-0.24,0,7.25
146,-0.21,0,7.3
147,-0.235,0,7.35
148,-0.275,0,7.4
149,-0.21,0,7.45
150,-0.185,0,7.5
151,-0.19,0,7.55
152,-0.19,0,7.6
153,-0.205,0,7.65
154,-0.16,0,7.7
155,-0.105,0,7.75
156,-0.12,0,7.8
157,-0.11,0,7.85
158,-0.1,0,7.9
159,-0.055,0,7.95
160,-0.05,0,8
161,-0.01,0,8.051
162,0.01,0,8.1
163,0.01,0,8.15
164,-0.02,0,8.2
165,0.035,0,8.251
166,0.01,0,8.3
167,-0.005,0,8.35
168,0.085,0,8.4
169,0.195,0,8.45
170,0.145,0,8.5
171,0.075,0,8.55
172,0.025,0,8.6
173,0.005,0,8.65
174,-0.055,0,8.7
175,-0.11,0,8.75
176,-0.07,0,8.8
177,0,0,8.85
178,0.005,0,8.9
179,0.015,0,8.95
180,-0.03,0,9
181,-0.07,0,9.05
182,-0.02,0,9.1
183,0.03,0,9.15
184,0.045,0,9.2
185,0.055,0,9.25
186,0.07,0,9.3
187,0.07,0,9.35
188,0.075,0,9.4
189,0.05,0,9.45
190,0,0,9.5
191,-0.06,0,9.55
192,-0.095,0,9.6
193,-0.08,0,9.65
194,-0.05,0,9.7
195,-0.06,0,9.75
196,-0.075,0,9.8
197,-0.09,0,9.85
198,-0.055,0,9.9
199,-0.04,0,9.95
200,-0.015,0,10.001
201,-0.01,0,10.05
202,-0.01,0,10.1
203,-0.03,0,10.15
204,-0.045,0,10.2
205,-0.105,0,10.25
206,-0.075,0,10.3
207,-0.045,0,10.35
208,-0.085,0,10.4
209,-0.115,0,10.45
210,-0.13,0,10.5
211,-0.175,0,10.55
212,-0.215,0,10.6
213,-0.265,0,10.65
214,-0.28,0,10.7
215,-0.275,0,10.75
216,-0.2,0,10.8
217,-0.16,0,10.851
218,-0.17,0,10.9
219,-0.175,0,10.95
220,-0.01,0,11
221,-0.13,0.04,11.05
222,-0.4,0.12,11.1
223,-0.725,0.2,11.15
224,-0.89,0.26,11.2
225,-0.905,0.34,11.25
226,-1.05,0.42,11.3
227,-1.1,0.5,11.35
228,-1.16,0.6,11.401
229,-1.13,0.66,11.45
230,-1.16,0.72,11.5
231,-1.23,0.82,11.55
232,-1.23,0.88,11.6
233,-1.245,0.96,11.65
234,-1.225,1.06,11.7
235,-1.22,1.14,11.75
236,-1.29,1.2,11.8
237,-1.405,1.28,11.85
238,-1.42,1.36,11.9
239,-1.325,1.44,11.95
240,-1.42,1.52,12.001
241,-1.35,1.6,12.05
242,-1.46,1.66,12.1
243,-1.435,1.74,12.15
244,-1.465,1.82,12.2
245,-1.44,1.9,12.25
246,-1.47,2,12.3
247,-1.45,2.04,12.35
248,-1.46,2.14,12.4
249,-1.565,2.22,12.45
250,-1.405,2.3,12.5
251,-1.235,2.38,12.55
252,-1.59,2.46,12.6
253,-1.495,2.52,12.65
254,-1.455,2.6,12.7
255,-1.43,2.68,12.75
256,-1.58,2.76,12.8
257,-1.655,2.84,12.85
258,-1.695,2.94,12.9
259,-1.76,3.02,12.95
260,-1.725,3.08,13
261,-1.75,3.16,13.05
262,-1.775,3.24,13.1
263,-1.835,3.32,13.15
264,-1.895,3.4,13.2
265,-1.93,3.46,13.25
266,-1.965,3.54,13.3
267,-2.02,3.62,13.35
268,-2.065,3.7,13.401
269,-2.095,3.8,13.45
270,-2.12,3.88,13.5
271,-2.16,3.96,13.55
272,-2.205,4.02,13.6
273,-2.24,4.1,13.65
274,-2.29,4.18,13.7
275,-2.305,4.26,13.75
276,-2.355,4.34,13.8
277,-2.395,4.4,13.85
278,-2.4,4.48,13.901
279,-2.41,4.58,13.95
280,-2.4,4.66,14
281,-2.43,4.74,14.05
282,-2.46,4.82,14.1
283,-2.45,4.9,14.15
284,-2.445,4.96,14.2
285,-2.44,5.04,14.25
286,-2.475,5.12,14.3
287,-2.495,5.2,14.35
288,-2.485,5.28,14.4
289,-2.475,5.34,14.45
290,-2.365,5.42,14.5
291,-2.38,5.52,14.55
292,-2.37,5.6,14.6
293,-2.395,5.68,14.65
294,-2.405,5.76,14.701
295,-2.55,5.84,14.75
296,-2.445,5.9,14.8
297,-2.44,5.98,14.85
298,-2.44,6.06,14.9
299,-2.46,6.14,14.95
300,-2.435,6.24,15
301,-2.495,6.28,15.05
302,-2.54,6.4,15.1
303,-2.81,6.52,15.162
304,-2.605,6.56,15.2
305,-2.785,6.68,15.261
306,-2.735,6.7,15.3
307,-2.75,6.78,15.35
308,-2.75,6.84,15.4
309,-2.76,6.92,15.45
310,-2.695,7,15.501
311,-2.805,7.08,15.55
312,-2.82,7.16,15.6
313,-2.835,7.22,15.65
314,-2.85,7.3,15.7
315,-2.855,7.38,15.75
316,-2.88,7.46,15.801
317,-2.895,7.56,15.85
318,-2.905,7.64,15.9
319,-2.925,7.68,15.95
320,-2.93,7.78,16
321,-3.06,7.86,16.05
322,-3.075,7.94,16.1
323,-3.08,8.02,16.15
324,-3.1,8.1,16.2
325,-3.065,8.16,16.25
326,-3.06,8.24,16.3
327,-2.945,8.32,16.35
328,-2.94,8.4,16.4
329,-3.05,8.5,16.45
330,-3.065,8.58,16.5
331,-3.07,8.66,16.55
332,-3.065,8.72,16.6
333,-3.09,8.8,16.65
334,-3.09,8.88,16.7
335,-3.075,8.96,16.751
336,-3.12,9.04,16.8
337,-3.11,9.1,16.85
338,-3.145,9.18,16.9
339,-3.16,9.26,16.95
340,-3.18,9.34,17.001
341,-3.175,9.44,17.05
342,-3.035,9.52,17.1
343,-2.975,9.6,17.15
344,-2.935,9.66,17.2
345,-2.865,9.8,17.264
346,-2.97,9.84,17.3
347,-2.85,9.9,17.35
348,-2.94,9.98,17.4
349,-2.85,10.04,17.45
350,-2.945,10.14,17.5
351,-2.99,10.22,17.55
352,-3.01,10.3,17.6
353,-2.945,10.38,17.651
354,-2.9,10.46,17.7
355,-2.87,10.54,17.75
356,-2.835,10.6,17.8
357,-2.81,10.68,17.85
358,-2.765,10.76,17.9
359,-2.75,10.84,17.95
360,-2.76,10.94,18
361,-2.82,10.98,18.051
362,-2.85,11.08,18.1
363,-2.93,11.16,18.15
364,-2.95,11.22,18.2
365,-2.965,11.32,18.251
366,-2.885,11.4,18.3
367,-2.61,11.48,18.35
368,-2.665,11.54,18.4
369,-2.74,11.62,18.451
370,-2.795,11.7,18.5
371,-2.68,11.78,18.55
372,-2.625,11.86,18.6
373,-2.585,11.92,18.651
374,-2.69,12.02,18.7
375,-2.635,12.08,18.75
376,-2.69,12.16,18.8
377,-2.755,12.26,18.85
378,-2.815,12.34,18.9
379,-2.91,12.42,18.95
380,-3.015,12.48,19
381,-3.11,12.56,19.05
382,-3.11,12.64,19.1
383,-3.125,12.72,19.15
384,-3.18,12.8,19.2
385,-3.19,12.86,19.25
386,-3.185,12.96,19.3
387,-3.235,13.02,19.35
388,-3.235,13.1,19.4
389,-3.325,13.2,19.45
390,-3.32,13.28,19.5
