3/27/2025  3:28 PM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
1	0.000	0.000	0.000
2	0.000	0.000	0.102
3	0.000	0.000	0.150
4	0.000	0.000	0.200
5	0.000	0.000	0.251
6	0.000	0.000	0.300
7	0.000	0.000	0.350
8	0.000	0.000	0.401
9	0.000	0.000	0.450
10	0.000	0.000	0.500
11	0.000	0.000	0.550
12	0.000	0.000	0.600
13	0.005	0.000	0.651
14	0.000	0.000	0.700
15	0.000	0.000	0.750
16	0.005	0.000	0.800
17	0.000	0.000	0.852
18	0.000	0.000	0.900
19	0.000	0.000	0.950
20	0.000	0.000	1.000
21	0.000	0.000	1.050
22	0.000	0.000	1.100
23	0.000	0.000	1.151
24	0.000	0.000	1.200
25	0.000	0.000	1.251
26	0.000	0.000	1.300
27	0.000	0.000	1.350
28	0.000	0.000	1.400
29	0.000	0.000	1.450
30	0.000	0.000	1.500
31	0.000	0.000	1.550
32	0.000	0.000	1.600
33	0.000	0.000	1.650
34	0.000	0.000	1.700
35	0.000	0.000	1.750
36	0.000	0.000	1.800
37	0.000	0.000	1.850
38	0.000	0.000	1.900
39	0.000	0.000	1.950
40	0.000	0.000	2.000
41	0.000	0.000	2.050
42	0.000	0.000	2.100
43	0.000	0.000	2.151
44	0.010	0.000	2.200
45	0.000	0.000	2.250
46	0.000	0.000	2.300
47	0.000	0.000	2.351
48	0.000	0.000	2.400
49	0.000	0.000	2.450
50	-0.005	0.000	2.500
51	0.000	0.000	2.550
52	0.000	0.000	2.600
53	0.000	0.000	2.650
54	0.000	0.000	2.700
55	0.005	0.000	2.750
56	0.005	0.000	2.800
57	0.005	0.000	2.850
58	0.005	0.000	2.900
59	0.000	0.000	2.950
60	0.005	0.000	3.000
61	0.000	0.000	3.050
62	-0.005	0.000	3.100
63	0.000	0.000	3.150
64	-0.005	0.000	3.201
65	-0.005	0.000	3.250
66	0.000	0.000	3.301
67	0.000	0.000	3.350
68	0.000	0.000	3.401
69	0.005	0.000	3.450
70	0.000	0.000	3.500
71	0.005	0.000	3.551
72	0.005	0.000	3.600
73	0.000	0.000	3.650
74	0.000	0.000	3.700
75	-0.005	0.000	3.750
76	0.005	0.000	3.801
77	-0.005	0.000	3.850
78	0.005	0.000	3.900
79	0.000	0.000	3.950
80	0.000	0.000	4.001
81	0.005	0.000	4.050
82	0.000	0.000	4.100
83	0.000	0.000	4.151
84	0.005	0.000	4.200
85	0.005	0.000	4.251
86	0.000	0.000	4.300
87	0.005	0.000	4.350
88	0.000	0.000	4.400
89	0.000	0.000	4.450
90	0.000	0.000	4.500
91	0.000	0.000	4.550
92	0.000	0.000	4.600
93	0.000	0.000	4.650
94	0.000	0.000	4.700
95	0.000	0.000	4.750
96	0.000	0.000	4.801
97	0.000	0.000	4.850
98	0.000	0.000	4.900
99	0.000	0.000	4.951
100	0.000	0.000	5.000
101	0.000	0.000	5.050
102	0.005	0.000	5.100
103	0.000	0.000	5.151
104	0.000	0.000	5.200
105	0.000	0.000	5.250
106	-0.005	0.000	5.301
107	-0.005	0.000	5.350
108	0.000	0.000	5.400
109	0.000	0.000	5.450
110	0.000	0.000	5.500
111	0.005	0.000	5.551
112	0.005	0.000	5.600
113	0.000	0.000	5.650
114	0.005	0.000	5.700
115	0.000	0.000	5.750
116	0.000	0.000	5.800
117	0.000	0.000	5.851
118	0.000	0.000	5.900
119	0.000	0.000	5.950
120	0.000	0.000	6.000
121	0.000	0.000	6.050
122	0.000	0.000	6.100
123	0.000	0.000	6.150
124	0.000	0.000	6.200
125	0.000	0.000	6.250
