time_ms,L7,L6,L5,L4,L3,L2,L1,R7,R6,R5,R4,R3,R2,R1,
21641,33143,34743,32528,34885,20587,22606,33488,31830,29409,16656,29263,27679,27925,28434,
21692,33172,34752,32514,34899,20617,22607,33516,31870,29417,16656,29250,27745,27902,28455,
21743,33173,34729,32521,34940,20617,22578,33502,31871,29417,16663,29214,27694,27925,28470,
21794,33115,34706,32564,34906,20588,22614,33523,31870,29425,16670,29215,27723,27894,28469,
21845,33086,34744,32550,34940,20588,22600,33509,31825,29417,16642,29235,27745,27971,28455,
21897,33180,34697,32521,34906,20588,22585,33515,31823,29418,16663,29214,27730,27901,28462,
21948,33130,34744,32521,34947,20603,22628,33509,31839,29396,16684,29207,27694,27925,28448,
21999,33129,34721,32507,34920,20603,22607,33516,31824,29460,16607,29214,27723,27902,28469,
22050,33072,34728,32536,34906,20617,22614,33516,31824,29403,16642,29221,27708,27909,28462,
22101,33114,34736,32492,34960,20595,22578,33509,31824,29417,16628,29235,27702,27925,28448,
22152,33129,34729,32528,34946,20602,22585,33516,31824,29424,16628,29207,27730,27940,28456,
22203,33136,34674,32507,34906,20603,22599,33523,31848,29403,16656,29193,27701,27933,28469,
22254,33143,34728,32557,34906,20610,22607,33509,31862,29529,16663,29235,27701,27925,28455,
22305,33099,34751,32529,34940,20610,22600,33509,31832,29432,16614,29221,27759,27910,28448,
22356,33100,34682,32557,34920,20580,22593,33509,31877,29438,16642,29221,27723,27894,28455,
22407,33122,34736,32543,34852,20602,22592,33523,31823,29445,16621,29214,27701,27910,28469,
22458,33115,34759,32543,34818,20603,22585,33522,31816,29452,16628,29243,27708,27902,28455,
22509,33121,34712,32492,34756,20565,22621,33523,31855,29480,16663,29200,27694,27917,28448,
22560,33114,34759,32500,34879,20588,22586,33516,31855,29432,16635,29214,27694,27963,28448,
22611,33145,34705,32565,34900,20580,22649,33509,31801,29445,16691,29278,27715,27948,28448,
22662,33137,34689,32515,34926,20617,22600,33509,31862,29417,16642,29221,27701,27986,28462,
22713,33129,34759,32579,34940,20588,22585,33495,31847,29501,16628,29228,27730,27948,28462,
22764,33115,34767,32521,34926,20602,22585,33516,31831,29452,16628,29235,27701,27887,28455,
