3/28/2025  3:20 PM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
1	0.000	0.000	0.000
2	0.000	0.000	0.130
3	0.000	0.000	0.181
4	0.000	0.000	0.230
5	0.000	0.000	0.281
6	0.000	0.000	0.330
7	0.000	0.000	0.380
8	0.000	0.000	0.430
9	0.000	0.000	0.481
10	0.000	0.000	0.530
11	0.000	0.000	0.581
12	0.000	0.000	0.630
13	0.000	0.000	0.680
14	0.000	0.000	0.731
15	0.000	0.000	0.780
16	0.000	0.000	0.830
17	0.000	0.000	0.880
18	0.005	0.000	0.930
19	0.000	0.000	0.980
20	0.005	0.000	1.031
21	0.005	0.000	1.081
22	0.000	0.000	1.130
23	0.005	0.000	1.180
24	0.000	0.000	1.230
25	0.000	0.000	1.280
26	0.000	0.000	1.331
27	0.000	0.000	1.380
28	0.000	0.000	1.430
29	0.000	0.000	1.480
30	0.000	0.000	1.530
31	0.000	0.000	1.580
32	0.000	0.000	1.630
33	0.000	0.000	1.680
34	0.000	0.000	1.730
35	0.000	0.000	1.780
36	-0.010	-0.020	1.830
37	-0.180	-0.100	1.881
38	-0.030	-0.160	1.930
39	-0.015	-0.260	1.980
40	-0.145	-0.340	2.031
41	-0.200	-0.420	2.080
42	-0.140	-0.500	2.131
43	0.000	-0.600	2.180
44	-0.090	-0.680	2.230
45	-0.180	-0.760	2.280
46	-0.095	-0.820	2.330
47	0.010	-0.920	2.380
48	0.165	-1.000	2.430
49	-0.075	-1.080	2.480
50	0.070	-1.160	2.530
51	0.115	-1.260	2.580
52	0.360	-1.340	2.630
53	0.310	-1.420	2.680
54	0.475	-1.480	2.731
55	0.915	-1.560	2.781
56	1.490	-1.660	2.831
57	1.810	-1.740	2.880
58	2.165	-1.820	2.931
59	2.875	-1.920	2.980
60	3.590	-2.000	3.030
61	4.110	-2.100	3.080
62	4.415	-2.180	3.130
63	5.150	-2.260	3.180
64	5.885	-2.320	3.230
65	6.470	-2.420	3.280
66	6.600	-2.420	3.330
67	6.545	-2.420	3.380
68	6.530	-2.460	3.431
69	6.540	-2.460	3.480
70	6.560	-2.460	3.530
71	6.575	-2.460	3.580
72	6.580	-2.480	3.631
73	6.580	-2.480	3.680
74	6.565	-2.480	3.731
75	6.545	-2.480	3.780
76	6.540	-2.480	3.831
77	6.530	-2.480	3.880
