Units: N,,,
Readings: Continuous,,,
X-Axis: Travel,,,
Travel Unit: mm,,,
Reading,Load,Travel,Time
1,0,0,0
2,0,0,0.128
3,0,0,0.179
4,0,0,0.229
5,0,0,0.278
6,0,0,0.329
7,0,0,0.378
8,0,0,0.429
9,0,0,0.479
10,0,0,0.528
11,0,0,0.578
12,0,0,0.628
13,0,0,0.678
14,0,0,0.728
15,0,0,0.779
16,0,0,0.828
17,0,0,0.879
18,0,0,0.928
19,0,0,0.978
20,0,0,1.028
21,0,0,1.078
22,0,0,1.128
23,0,0,1.178
24,0,0,1.228
25,0,0,1.279
26,0,0,1.329
27,0,0,1.378
28,0,0,1.428
29,0.03,0,1.478
30,0.025,-0.06,1.528
31,-0.095,-0.16,1.579
32,-0.13,-0.24,1.628
33,0.015,-0.32,1.678
34,0.18,-0.4,1.728
35,0.205,-0.5,1.778
36,0.02,-0.58,1.829
37,0,-0.66,1.878
38,0.23,-0.72,1.928
39,0.25,-0.82,1.978
40,0.015,-0.9,2.028
41,0.03,-0.98,2.078
42,0.07,-1.06,2.128
43,0.365,-1.16,2.178
44,0.24,-1.24,2.229
45,0.36,-1.32,2.279
46,0.67,-1.38,2.328
47,1.015,-1.48,2.378
48,1.16,-1.56,2.428
49,1.325,-1.64,2.478
50,1.655,-1.72,2.528
51,2.235,-1.82,2.578
52,2.66,-1.9,2.628
53,2.815,-2,2.678
54,3.21,-2.08,2.729
55,3.87,-2.14,2.778
56,4.42,-2.22,2.829
57,4.65,-2.32,2.878
58,5.195,-2.4,2.928
59,5.545,-2.42,2.978
60,5.65,-2.42,3.028
61,5.545,-2.42,3.078
62,5.55,-2.46,3.128
63,5.56,-2.46,3.178
64,5.58,-2.46,3.228
65,5.595,-2.46,3.278
66,5.71,-2.48,3.328
67,5.615,-2.48,3.378
68,5.6,-2.48,3.428
69,5.59,-2.48,3.478
70,5.575,-2.48,3.528
71,5.565,-2.48,3.579
72,5.555,-2.48,3.628
73,5.55,-2.48,3.678
74,5.54,-2.48,3.729
75,5.535,-2.48,3.778
76,5.525,-2.48,3.829
77,5.52,-2.48,3.878
78,5.515,-2.48,3.928
79,5.51,-2.48,3.978
80,5.505,-2.48,4.029
81,5.5,-2.48,4.079
82,5.495,-2.48,4.128
83,5.49,-2.48,4.178
84,5.485,-2.48,4.228
85,5.48,-2.48,4.278
