Units: N			
Readings: Continuous			
X-Axis: Travel			
Travel Unit: mm			
Reading	Load	Travel	Time
1	0.005	0	0
2	0	0	0.115
3	0.005	0	0.15
4	0	0	0.2
5	0	0	0.25
6	0.005	0	0.301
7	0	0	0.35
8	0	0	0.401
9	0.005	0	0.45
10	0	0	0.501
11	0.005	0	0.55
12	0	0	0.6
13	0	0	0.65
14	0	0	0.7
15	0	0	0.75
16	0	0	0.8
17	0	0	0.851
18	0	0	0.9
19	0	0	0.95
20	0	0	1
21	0	0	1.05
22	0	0	1.1
23	0	0	1.15
24	0	0	1.2
25	0	0	1.25
26	0	0	1.3
27	0	0	1.351
28	0.005	0	1.4
29	0	0	1.45
30	0	0	1.5
31	0	0	1.55
32	0.185	-0.02	1.601
33	0.02	-0.12	1.65
34	0.005	-0.2	1.7
35	0.16	-0.26	1.75
36	0.25	-0.34	1.8
37	0.035	-0.44	1.851
38	0.035	-0.52	1.9
39	0.045	-0.6	1.951
40	0.29	-0.68	2
41	0.145	-0.78	2.051
42	0.22	-0.86	2.1
43	0.425	-0.92	2.15
44	0.695	-1	2.201
45	0.665	-1.1	2.25
46	0.845	-1.18	2.3
47	1.06	-1.26	2.351
48	1.565	-1.34	2.4
49	1.845	-1.44	2.45
50	1.945	-1.52	2.5
51	2.255	-1.6	2.55
52	2.75	-1.66	2.601
53	3.165	-1.76	2.65
54	3.275	-1.84	2.701
55	3.605	-1.92	2.75
56	4.28	-2.02	2.8
57	4.985	-2.1	2.851
58	5.4	-2.2	2.9
59	5.985	-2.28	2.951
60	6.785	-2.36	3
61	7.53	-2.42	3.05
62	7.255	-2.42	3.101
63	7.475	-2.42	3.15
64	7.39	-2.42	3.2
65	7.385	-2.46	3.25
66	7.415	-2.46	3.301
67	7.43	-2.46	3.35
68	7.46	-2.46	3.4
69	7.465	-2.48	3.45
70	7.45	-2.48	3.501
71	7.435	-2.48	3.55
72	7.425	-2.48	3.6
73	7.415	-2.48	3.65
74	7.405	-2.48	3.701
75	7.395	-2.48	3.75
76	7.385	-2.48	3.801
77	7.38	-2.48	3.85
78	7.37	-2.48	3.9
79	7.365	-2.48	3.951
