time_ms,L7,L6,L5,L4,L3,L2,L1,R7,R6,R5,R4,R3,R2,R1,
36910,32720,34191,32220,34239,20116,21816,32301,32727,30694,18651,31103,28424,29125,28747,
36961,32720,34152,32170,34205,20108,21831,32295,32690,30680,18609,31070,28396,29027,28776,
37012,32749,34129,32257,34212,20093,21859,32315,32728,30688,18623,31062,28382,29095,28783,
37062,32706,34145,32177,34252,20101,21809,32309,32743,30786,18616,31055,28389,29064,28797,
37113,32728,34168,32220,34293,20101,21809,32308,32705,30694,18623,31091,28403,29057,28783,
37163,32770,34114,32220,34286,20108,21809,32281,32728,30694,18595,31062,28432,29057,28783,
37214,32770,34168,32206,34266,20086,21830,32308,32681,30765,18623,31055,28396,29064,28783,
37265,32727,34114,32199,34286,20079,21866,32309,32735,30696,18623,31055,28417,29095,28797,
37316,32749,34130,32177,34232,20131,21830,32302,32705,30730,18694,31062,28396,29072,28804,
37367,32756,34145,32206,34218,20108,21830,32316,32728,30708,18623,31090,28360,29056,28783,
37418,32734,34137,32227,34225,20101,21866,32315,32750,30687,18616,31098,28411,29049,28790,
37469,32755,34122,32170,34232,20108,21837,32302,32697,30730,18594,31041,28367,29110,28776,
37519,32742,34168,32184,34232,20108,21830,32308,32744,30701,18609,31076,28417,29049,28769,
37570,32706,34160,32213,34225,20101,21816,32308,32720,30723,18602,31104,28396,29064,28790,
37621,32828,34122,32177,34287,20079,21858,32315,32683,30758,18595,31070,28396,29072,28790,
37672,32728,34137,32214,34218,20101,21852,32309,32705,30779,18630,31056,28367,29080,28776,
37723,32713,34145,32206,34300,20108,21809,32308,32705,30757,18637,31055,28396,29056,28797,
37774,32800,34153,32162,34226,20123,21873,32295,32705,30667,18595,31055,28424,29049,28776,
37825,32750,34129,32220,34225,20116,21866,32316,32721,30695,18609,31084,28389,29071,28776,
37876,32749,34137,32220,34232,20086,21873,32322,32697,30710,18637,31076,28381,29072,28790,
37927,32721,34168,32235,34286,20093,21887,32315,32706,30730,18595,31048,28403,29065,28783,
37978,32829,34098,32198,34273,20108,21831,32322,32773,30680,18609,31041,28389,29064,28804,
38029,32735,34183,32256,34280,20108,21880,32322,32728,30688,18665,31062,28389,29072,28776,
38080,32756,34153,32184,34273,20108,21816,32323,32712,30687,18616,31069,28425,29057,28762,
38131,32720,34145,32163,34212,20101,21837,32322,32706,30737,18616,31076,28418,29080,28769,
38182,32756,34106,32214,34232,20101,21830,32322,32728,30710,18623,31076,28375,29118,28790,
38232,32771,34160,32234,34239,20086,21859,32295,32713,30694,18616,31055,28375,29064,28783,
38283,32792,34160,32234,34266,20093,21809,32309,32683,30724,18588,31084,28367,29072,28797,
38334,32793,34129,32185,34300,20101,21816,32302,32689,30723,18630,31056,28389,29034,28790,
38385,32734,34114,32192,34219,20108,21823,32315,32713,30779,18623,31076,28389,29050,28790,
38436,32749,34199,32163,34219,20101,21852,32322,32697,30701,18672,31097,28367,29111,28790,
38488,32770,34152,32156,34232,20116,21823,32316,32736,30722,18609,31062,28396,29064,28797,
38538,32749,34137,32184,34279,20101,21809,32295,32728,30681,18679,31098,28410,29056,28783,
38589,32764,34207,32149,34252,20101,21859,32302,32751,30681,18623,31091,28382,29080,28776,
38640,32734,34160,32214,34266,20108,21823,32309,32744,30722,18679,31098,28382,29034,28769,
38692,32712,34153,32198,34273,20101,21823,32315,32689,30695,18616,31069,28403,29072,28769,
38742,32705,34215,32256,34239,20108,21788,32316,32690,30681,18602,31055,28374,29064,28769,
38793,32713,34138,32170,34259,20101,21802,32322,32705,30716,18630,31112,28367,29057,28776,
38843,32720,34137,32263,34232,20101,21788,32301,32683,30751,18609,31069,28375,29049,28790,
38894,32742,34145,32235,34252,20116,21816,32309,32698,30681,18616,31098,28396,29064,28797,
38945,32756,34107,32206,34260,20123,21859,32309,32728,30681,18658,31084,28425,29094,28797,
38996,32713,34137,32163,34238,20101,21837,32309,32705,30779,18630,31077,28410,29110,28783,
39046,32748,34137,32155,34259,20101,21837,32315,32712,30681,18609,31104,28389,29080,28790,
39097,32749,34145,32170,34212,20131,21859,32302,32736,30680,18644,31056,28375,29064,28769,
39148,32763,34168,32170,34246,20116,21830,32308,32705,30716,18644,31069,28389,29072,28790,
39199,32742,34153,32213,34259,20079,21831,32302,32743,30701,18644,31097,28389,29118,28776,
39250,32748,34122,32184,34225,20101,21816,32309,32705,30764,18616,31041,28403,29072,28797,
39301,32736,34130,32213,34273,20101,21851,32309,32721,30694,18630,31083,28381,29133,28790,
39352,32741,34153,32213,34266,20116,21802,32309,32728,30659,18651,31049,28374,29064,28776,
39402,32741,34176,32162,34252,20116,21838,32302,32728,30681,18602,31090,28374,29103,28769,
39453,32734,34145,32163,34259,20108,21802,32295,32744,30744,18637,31097,28403,29057,28769,
39504,32735,34129,32163,34211,20131,21831,32316,32712,30673,18644,31112,28389,29072,28783,
39555,32786,34114,32214,34273,20108,21837,32308,32689,30736,18644,31090,28410,29065,28790,
39626,32836,34106,32257,34239,20101,21859,32309,32758,30723,18623,31062,28446,29057,28783,
39678,32778,34122,32191,34232,20093,21837,32323,32691,30708,18679,31069,28396,29148,28783,
39730,32757,34137,32163,34219,20101,21838,32329,32728,30689,18630,31048,28374,29049,28783,
39781,32742,34130,32170,34205,20108,21838,32302,32720,30702,18630,31090,28367,29065,28783,
39831,32756,34160,32177,34205,20116,21852,32295,32697,30715,18609,31126,28389,29064,28776,
39882,32698,34153,32191,34225,20108,21837,32316,32759,30709,18623,31070,28374,29103,28783,
39933,32756,34107,32170,34259,20108,21816,32316,32697,30696,18602,31070,28410,29057,28783,
39984,32749,34137,32162,34253,20108,21873,32295,32705,30688,18637,31084,28367,29057,28790,
40035,32734,34153,32220,34219,20123,21809,32322,32751,30723,18602,31105,28381,29080,28783,
40085,32720,34145,32184,34211,20108,21809,32316,32713,30688,18602,31070,28410,29049,28776,
40136,32734,34168,32149,34212,20093,21859,32302,32751,30688,18602,31063,28382,29126,28776,
40188,32749,34161,32162,34246,20116,21866,32316,32728,30786,18616,31133,28396,29042,28797,
40238,32734,34145,32184,34225,20108,21823,32309,32697,30708,18609,31048,28425,29049,28783,
40289,32814,34137,32235,34225,20108,21838,32315,32736,30695,18630,31062,28382,29041,28797,
40340,32706,34153,32213,34246,20108,21816,32309,32736,30716,18623,31063,28382,29125,28783,
40391,32742,34130,32177,34225,20101,21852,32302,32697,30681,18637,31063,28411,29118,28783,
40442,32749,34122,32206,34259,20101,21823,32309,32705,30680,18616,31112,28396,29095,28783,
40493,32705,34145,32177,34226,20108,21852,32302,32766,30680,18623,31070,28417,29080,28783,
40544,32813,34160,32192,34239,20123,21880,32323,32682,30750,18616,31069,28397,29079,28775,
40594,32705,34114,32242,34232,20108,21816,32316,32712,30758,18665,31055,28461,29049,28797,
40645,32770,34153,32192,34252,20079,21837,32309,32743,30681,18594,31041,28533,29088,28776,
40696,32728,34145,32213,34225,20116,21887,32309,32720,30702,18630,31020,28612,29042,28783,
40746,32777,34153,32162,34273,20086,21845,32322,32728,30674,18630,30992,28662,29087,28790,
40797,32742,34145,32206,34239,20116,21837,32316,32697,30773,18594,30971,28827,29011,28783,
40847,32748,34129,32156,34239,20116,21809,32316,32698,30680,18573,30957,28920,29018,28790,
40898,32807,34122,32177,34239,20116,21887,32315,32728,30723,18552,30907,29021,28995,28811,
40949,32828,34129,32220,34239,20101,21873,32309,32683,30688,18552,30907,29129,28980,28804,
41000,32756,34137,32183,34272,20101,21866,32309,32713,30695,18538,30864,29265,29018,28818,
41051,32749,34184,32199,34218,20108,21816,32315,32721,30688,18587,30850,30098,29019,28838,
41101,32764,34130,32213,34273,20123,21859,32315,32721,30765,18567,30829,30938,28949,28825,
41153,32720,34145,32170,34252,20108,21816,32309,32698,30701,18510,30865,31793,28972,28825,
41204,32727,34145,32235,34239,20108,21852,32315,32774,30680,18503,30864,32842,28911,28811,
41254,32828,34114,32241,34272,20094,21816,32309,32712,30680,18538,30780,34982,28973,28811,
41305,32778,34184,32177,34252,20101,21823,32309,32752,30730,18510,30809,36038,28942,28818,
41356,32763,34107,32234,34272,20086,21852,32329,32744,30722,18517,30780,37231,28973,28790,
41407,32706,34199,32221,34212,20108,21831,32309,32713,30688,18482,30794,38229,29018,28797,
41458,32727,34137,32184,34239,20108,21852,32309,32736,30702,18517,30795,39379,29049,28811,
41508,32727,34184,32199,34246,20108,21859,32309,32713,30793,18489,30788,40694,29056,28789,
41559,32734,34138,32184,34307,20108,21802,32316,32735,30695,18489,30829,40600,29049,28790,
41609,32735,34168,32192,34238,20101,21852,32302,32759,30737,18503,30780,40643,29056,28790,
41660,32727,34152,32177,34260,20123,21823,32309,32720,30674,18475,30759,40736,29080,28783,
41711,32741,34130,32163,34246,20101,21816,32309,32705,30687,18524,30787,40736,29072,28797,
41761,32742,34129,32242,34253,20101,21859,32316,32750,30709,18503,30809,40759,29118,28783,
41812,32778,34199,32184,34266,20108,21816,32309,32705,30758,18524,30751,40873,29110,28797,
41863,32735,34137,32228,34219,20086,21866,32309,32751,30750,18482,30808,40866,29072,28797,
41914,32793,34176,32213,34239,20101,21816,32315,32766,30709,18517,30780,40880,29095,28804,
