time_ms,L7,L6,L5,L4,L3,L2,L1,R7,R6,R5,R4,R3,R2,R1,
69572,32721,34177,32222,34280,20116,21873,32337,32857,30667,18662,30990,28353,28959,28519,
69623,32751,34200,32280,34240,20109,21866,32310,32785,30710,18635,31027,28384,28907,28526,
69673,32742,34201,32228,34294,20094,21859,32323,32807,30711,18656,31020,28362,28930,28519,
69724,32771,34223,32185,34273,20124,21866,32316,32839,30711,18677,30999,28340,28922,28505,
69775,32706,34177,32222,34294,20109,21831,32316,32785,30703,18606,30999,28370,28968,28512,
69826,32736,34170,32221,34274,20101,21802,32316,32823,30745,18620,31013,28376,28906,28505,
69877,32735,34215,32229,34253,20109,21859,32309,32816,30724,18627,31041,28398,28906,28512,
69928,32721,34162,32200,34280,20116,21852,32323,32823,30682,18606,31013,28376,28960,28513,
69978,32735,34239,32243,34267,20116,21852,32316,32777,30745,18620,31070,28376,28990,28512,
70029,32757,34161,32193,34281,20138,21810,32323,32839,30752,18620,31019,28362,28891,28519,
70080,32757,34216,32236,34280,20109,21838,32323,32785,30703,18662,31012,28326,28929,28512,
70131,32771,34177,32228,34260,20124,21838,32309,32800,30724,18627,31034,28362,28929,28505,
70182,32801,34153,32193,34240,20094,21817,32323,32792,30710,18627,31006,28347,28999,28512,
70232,32757,34146,32192,34274,20109,21873,32316,32837,30696,18648,31041,28369,28907,28512,
70284,32713,34169,32192,34287,20123,21817,32323,32792,30697,18606,31013,28376,28907,28513,
70335,32728,34177,32178,34260,20123,21824,32323,32816,30724,18677,30998,28376,28906,28491,
70386,32757,34185,32228,34246,20101,21845,32316,32800,30688,18641,30999,28376,28914,28505,
70437,32771,34177,32207,34239,20094,21838,32309,32784,30696,18648,31012,28362,28906,28512,
70488,32807,34185,32200,34246,20131,21838,32330,32785,30730,18655,31068,28355,28914,28498,
70539,32735,34130,32164,34280,20124,21817,32316,32792,30738,18655,31020,28362,28906,28512,
70589,32713,34154,32215,34300,20131,21810,32316,32792,30689,18620,30991,28391,28922,28505,
70640,32706,34185,32208,34287,20131,21831,32295,32815,30716,18613,31077,28405,28891,28505,
70691,32750,34177,32221,34315,20116,21845,32302,32808,30695,18613,31034,28347,28945,28498,
70742,32736,34154,32192,34294,20109,21831,32330,32814,30689,18620,30991,28376,28906,28498,
70793,32699,34223,32193,34300,20116,21873,32302,32808,30710,18606,31013,28390,28907,28498,
70844,32757,34246,32250,34294,20131,21866,32323,32808,30738,18655,31006,28347,28891,28505,
70894,32779,34161,32236,34246,20123,21817,32316,32785,30702,18634,31034,28369,28929,28505,
70945,32720,34176,32207,34287,20116,21810,32309,32785,30744,18641,31027,28369,28899,28505,
70997,32758,34130,32193,34280,20116,21838,32309,32800,30745,18606,30992,28369,28907,28512,
71064,32742,34169,32243,34246,20116,21831,32316,32800,30752,18684,31055,28384,28906,28506,
71115,32757,34200,32236,34253,20094,21845,32302,32799,30724,18620,31055,28419,28914,28506,
71166,32750,34185,32229,34314,20109,21810,32316,32831,30702,18613,31048,28369,28891,28519,
71218,32706,34146,32214,34280,20123,21881,32330,32838,30711,18613,30999,28355,28929,28512,
71269,32720,34177,32200,34294,20109,21866,32316,32800,30717,18663,30998,28377,28914,28526,
71320,32750,34193,32207,34301,20138,21873,32316,32792,30695,18613,31012,28354,28929,28505,
71370,32698,34216,32178,34293,20101,21810,32302,32785,30696,18599,31005,28383,28968,28505,
71421,32772,34200,32214,34287,20116,21817,32309,32785,30745,18641,31020,28347,28968,28519,
71472,32750,34154,32229,34267,20109,21866,32309,32807,30696,18677,31055,28362,28952,28512,
71523,32736,34223,32228,34246,20094,21831,32309,32777,30709,18606,31013,28369,28975,28513,
71574,32764,34192,32222,34280,20131,21831,32323,32784,30703,18648,30999,28390,28922,28506,
71625,32750,34146,32200,34260,20124,21873,32330,32792,30733,18641,31055,28383,28975,28519,
71675,32728,34153,32178,34287,20123,21817,32309,32785,30696,18634,30999,28376,28914,28505,
71726,32742,34192,32243,34260,20109,21831,32337,32777,30738,18627,31035,28384,28944,28519,
71777,32729,34177,32243,34287,20131,21824,32316,32853,30828,18684,30992,28355,28922,28526,
71828,32808,34231,32179,34280,20124,21831,32323,32814,30674,18620,30985,28384,28944,28519,
71879,32736,34177,32186,34247,20116,21831,32323,32777,30710,18641,30991,28355,28907,28519,
71929,32815,34169,32200,34267,20109,21824,32309,32777,30703,18655,31013,28355,28907,28512,
71980,32721,34209,32178,34240,20116,21824,32323,32808,30717,18670,31019,28376,28921,28512,
72031,32772,34154,32178,34280,20124,21810,32309,32815,30697,18634,30999,28376,28952,28505,
72081,32756,34216,32193,34253,20146,21831,32309,32776,30702,18684,31040,28391,28952,28498,
72132,32721,34138,32171,34233,20109,21824,32295,32785,30759,18655,31055,28369,28899,28519,
72183,32742,34153,32214,34240,20123,21831,32323,32807,30661,18648,31041,28398,28899,28484,
72234,32721,34231,32192,34246,20124,21810,32309,32792,30711,18677,30992,28348,28960,28519,
72285,32741,34177,32207,34260,20109,21803,32309,32799,30696,18677,31048,28383,28975,28505,
72336,32707,34154,32214,34260,20109,21852,32323,32785,30695,18613,30998,28369,28922,28519,
72387,32764,34169,32236,34294,20116,21831,32323,32815,30696,18627,31012,28348,28907,28519,
72438,32764,34200,32250,34287,20094,21845,32323,32784,30703,18620,31048,28333,28891,28519,
72489,32763,34169,32178,34308,20124,21845,32323,32799,30696,18691,31020,28427,28906,28519,
72539,32785,34169,32207,34233,20123,21838,32316,32777,30724,18613,31020,28398,28922,28512,
72590,32728,34169,32185,34247,20116,21824,32309,32831,30703,18620,31062,28383,28914,28526,
72641,32764,34231,32193,34246,20094,21831,32323,32830,30724,18620,31006,28376,28983,28540,
72691,32763,34184,32221,34260,20094,21845,32330,32838,30689,18634,30998,28362,28990,28562,
72742,32771,34161,32207,34260,20131,21817,32309,32792,30745,18627,31062,28369,28945,28561,
72793,32742,34208,32243,34307,20101,21852,32323,32784,30710,18669,31006,28376,28991,28590,
72843,32749,34153,32207,34247,20108,21859,32316,32800,30731,18677,31069,28384,29105,28659,
72894,32706,34139,32215,34308,20101,21831,32316,32807,30788,18656,31048,28391,29136,28736,
72945,32750,34185,32171,34240,20094,21817,32316,32784,30752,18670,31034,28376,29135,28792,
72995,32758,34154,32214,34307,20109,21802,32323,32807,30703,18691,31027,28384,29098,28904,
73046,32764,34161,32192,34280,20101,21881,32323,32784,30808,18677,31069,28362,29135,29233,
73096,32742,34216,32251,34321,20131,21824,32323,32792,30731,18634,31069,28398,29159,29477,
73147,32851,34177,32185,34314,20124,21831,32309,32807,30696,18641,31048,28456,29150,29869,
73198,32749,34177,32186,34253,20138,21838,32316,32830,30711,18627,31091,28398,29136,30407,
73248,32750,34193,32193,34260,20116,21838,32316,32791,30780,18684,31069,28369,29113,31784,
73299,32728,34192,32200,34287,20123,21831,32323,32845,30688,18627,31048,28434,29105,32476,
73351,32749,34169,32192,34240,20116,21810,32316,32792,30724,18642,31055,28384,29098,33399,
73401,32742,34154,32178,34253,20109,21831,32302,32792,30696,18684,31048,28376,29082,34091,
73452,32778,34239,32178,34308,20123,21873,32316,32784,30690,18684,31076,28419,29044,34881,
73503,32829,34215,32193,34294,20116,21895,32316,32830,30703,18627,31062,28369,29013,36524,
73554,32772,34162,32222,34233,20109,21831,32309,32853,30746,18648,31062,28391,29021,37293,
73605,32727,34193,32221,34233,20116,21816,32329,32830,30724,18705,31048,28376,29006,38195,
73656,32786,34208,32250,34246,20124,21810,32330,32791,30717,18648,31139,28383,28952,39007,
73706,32734,34162,32222,34260,20109,21802,32302,32837,30710,18641,31069,28434,28983,40601,
73757,32728,34215,32200,34246,20109,21838,32323,32815,30697,18655,31055,28369,28983,41384,
73808,32764,34176,32221,34260,20094,21802,32316,32784,30710,18656,31069,28383,28875,42168,
73859,32735,34192,32200,34267,20124,21831,32309,32776,30773,18691,31119,28398,28869,42936,
73909,32750,34153,32178,34260,20131,21817,32316,32792,30731,18691,31055,28398,28860,43727,
73960,32713,34169,32200,34267,20109,21810,32309,32792,30702,18691,31076,28405,28876,44874,
74011,32706,34208,32171,34287,20116,21831,32302,32815,30683,18634,31090,28355,28830,44770,
74062,32735,34169,32185,34253,20101,21809,32316,32791,30737,18641,31090,28376,28853,44790,
74113,32757,34161,32213,34328,20101,21809,32309,32822,30723,18641,31119,28398,28823,44888,
74164,32728,34161,32170,34253,20108,21831,32316,32845,30702,18684,31076,28383,28815,44825,
74215,32793,34161,32200,34246,20101,21817,32323,32784,30689,18655,31097,28376,28846,44888,
74266,32741,34131,32208,34280,20101,21817,32323,32807,30696,18670,31105,28369,28891,44902,
74317,32736,34184,32186,34240,20094,21859,32309,32845,30710,18627,31069,28427,28861,44915,
74368,32764,34145,32192,34341,20101,21824,32336,32769,30752,18648,31062,28406,28846,44888,
74420,32750,34154,32193,34260,20109,21866,32316,32769,30724,18670,31076,28348,28861,44889,
74470,32750,34216,32192,34226,20109,21831,32322,32860,30710,18669,31076,28405,28860,44840,
74521,32785,34177,32199,34260,20116,21817,32309,32807,30703,18627,31084,28412,28837,44840,
74572,32735,34200,32200,34246,20131,21852,32315,32845,30738,18655,31097,28383,28830,44839,
74622,32771,34207,32179,34294,20094,21795,32316,32776,30745,18627,31154,28369,28830,44812,
74673,32743,34184,32235,34273,20108,21824,32323,32807,30717,18662,31062,28412,28930,44805,
74724,32699,34215,32250,34321,20116,21817,32309,32844,30695,18670,31083,28427,28876,44763,
74775,32728,34185,32186,34253,20109,21796,32316,32800,30703,18677,31105,28369,28861,44776,
74826,32793,34201,32179,34280,20109,21824,32302,32792,30710,18634,31062,28383,28830,44748,
