time_ms,L7,L6,L5,L4,L3,L2,L1,R7,R6,R5,R4,R3,R2,R1,
23632,32820,34194,32251,34261,20116,21846,32353,32764,30833,18850,31130,28450,29253,29123,
23683,32806,34210,32275,34289,20124,21882,32360,32734,30799,18893,31152,28435,29246,29130,
23734,32865,34179,32260,34289,20124,21839,32375,32726,30869,18858,31152,28486,29246,29109,
23785,32813,34264,32218,34302,20124,21867,32374,32750,30820,18851,31159,28457,29238,29130,
23836,32864,34171,32224,34282,20116,21853,32367,32688,30840,18900,31137,28436,29315,29123,
23887,32812,34187,32238,34268,20139,21846,32360,32704,30820,18872,31158,28493,29215,29116,
23938,32784,34203,32246,34296,20124,21881,32367,32681,30840,18822,31130,28443,29238,29130,
23989,32813,34210,32195,34316,20109,21910,32374,32696,30841,18879,31144,28465,29261,29123,
24040,32770,34218,32224,34275,20131,21853,32360,32704,30785,18879,31137,28494,29353,29109,
24091,32877,34202,32260,34302,20116,21881,32361,32741,30834,18851,31173,28450,29223,29123,
24141,32820,34148,32238,34302,20146,21853,32367,32698,30798,18844,31144,28507,29231,29116,
24192,32769,34203,32238,34316,20116,21846,32360,32673,30792,18829,31159,28443,29246,29130,
24249,32863,34202,32210,34282,20146,21896,32374,32688,30841,18872,31159,28458,29299,29123,
24300,32798,34187,32188,34268,20109,21874,32367,32733,30812,18851,31173,28515,29261,29116,
24351,32877,34194,32224,34268,20139,21853,32367,32673,30833,18851,31187,28472,29253,29116,
24402,32799,34202,32253,34309,20124,21846,32367,32718,30799,18879,31131,28435,29284,29123,
24453,32813,34179,32267,34274,20146,21867,32361,32696,30806,18858,31159,28464,29246,29123,
24504,32834,34187,32217,34282,20117,21853,32360,32726,30820,18851,31123,28500,29231,29123,
24555,32834,34164,32260,34255,20139,21860,32374,32696,30805,18872,31173,28465,29269,29108,
24606,32784,34226,32210,34316,20131,21888,32360,32734,30819,18879,31166,28493,29261,29109,
24657,32820,34187,32267,34255,20116,21846,32354,32749,30820,18836,31130,28457,29315,29115,
24707,32820,34203,32254,34281,20117,21875,32374,32688,30799,18872,31144,28450,29261,29116,
24758,32785,34218,32252,34275,20146,21874,32353,32703,30826,18830,31152,28464,29300,29116,
24809,32849,34202,32239,34309,20131,21846,32367,32712,30813,18886,31137,28464,29246,29116,
