time_ms,L7,L6,L5,L4,L3,L2,L1,R7,R6,R5,R4,R3,R2,R1,
13772,32793,34185,32186,34314,20124,21831,32310,32575,30629,18633,31009,28339,28913,28496,
13824,32787,34169,32237,34281,20116,21909,32316,32582,30663,18689,30975,28360,28889,28497,
13875,32831,34193,32272,34301,20116,21859,32310,32551,30677,18626,30989,28360,28920,28489,
13925,32816,34185,32179,34247,20124,21852,32337,32543,30670,18640,30989,28375,28935,28518,
13976,32759,34177,32222,34234,20131,21838,32344,32543,30747,18647,30988,28382,28920,28504,
14027,32779,34193,32193,34260,20116,21846,32344,32598,30684,18654,30981,28382,28898,28496,
14077,32830,34177,32208,34328,20124,21881,32323,32628,30670,18619,31038,28368,28905,28489,
14128,32809,34209,32208,34308,20094,21845,32330,32543,30713,18654,30988,28382,28882,28503,
14179,32772,34208,32280,34288,20116,21853,32337,32605,30712,18640,30996,28360,28989,28496,
14230,32750,34232,32243,34328,20124,21845,32330,32621,30684,18626,30974,28353,28881,28503,
14281,32823,34147,32193,34281,20131,21846,32323,32551,30690,18640,30982,28360,28889,28510,
14331,32773,34185,32193,34314,20138,21853,32330,32536,30691,18682,30968,28360,28920,28496,
14382,32794,34224,32201,34295,20139,21853,32344,32543,30663,18689,30974,28389,28889,28496,
14433,32773,34155,32208,34254,20131,21852,32330,32589,30698,18626,30996,28339,28882,28490,
14484,32787,34170,32229,34260,20109,21845,32337,32543,30761,18640,30981,28389,28913,28496,
14535,32779,34209,32273,34335,20116,21860,32330,32559,30684,18647,30989,28339,28890,28496,
14586,32779,34154,32258,34261,20109,21866,32337,32590,30685,18661,30989,28367,28913,28503,
14637,32801,34163,32215,34335,20131,21860,32330,32544,30676,18647,31017,28368,28912,28503,
14688,32758,34201,32222,34329,20124,21859,32323,32566,30656,18633,30974,28353,28905,28496,
14738,32824,34162,32258,34261,20116,21831,32344,32559,30733,18618,31052,28360,28912,28503,
14789,32794,34224,32245,34328,20124,21845,32344,32583,30754,18612,31017,28339,28897,28497,
14839,32714,34193,32280,34281,20131,21859,32330,32567,30670,18619,30975,28353,28935,28496,
14890,32766,34170,32229,34267,20109,21874,32330,32598,30698,18626,30989,28367,28920,28503,
14941,32744,34201,32237,34267,20146,21860,32331,32543,30740,18696,31067,28353,28951,28504,
14991,32845,34162,32265,34308,20124,21853,32331,32575,30753,18640,30996,28339,28890,28503,
15044,32722,34193,32194,34335,20116,21853,32330,32566,30662,18675,31009,28346,28981,28518,
15101,32845,34185,32194,34328,20109,21867,32337,32574,30664,18654,30981,28374,28890,28504,
15152,32757,34193,32237,34315,20124,21881,32337,32567,30656,18598,30974,28339,28913,28496,
15203,32801,34170,32216,34247,20124,21888,32323,32552,30676,18640,30989,28403,28882,28511,
15255,32766,34240,32208,34267,20124,21824,32317,32628,30739,18611,30982,28332,28897,28518,
15306,32722,34193,32244,34308,20124,21867,32344,32574,30670,18661,30968,28382,28905,28504,
15357,32758,34170,32223,34261,20146,21867,32330,32559,30698,18711,30996,28403,28920,28483,
15407,32823,34216,32208,34288,20101,21831,32337,32613,30754,18654,31017,28374,28989,28524,
15458,32773,34224,32208,34261,20109,21866,32330,32613,30677,18612,31003,28404,28897,28511,
15509,32823,34247,32201,34274,20131,21860,32337,32582,30748,18619,30989,28360,28935,28517,
15560,32837,34169,32223,34240,20146,21881,32337,32597,30676,18633,30974,28353,29004,28490,
